"","tournament_id","tournament_name","year","start_date","end_date","host_country","winner","host_won","count_teams","group_stage","second_group_stage","final_round","round_of_16","quarter_finals","semi_finals","third_place_match","final","stage_number","stage_name","knockout_stage","unbalanced_groups","count_matches","count_scheduled","count_replays","count_playoffs","count_walkovers","position","team_id","team_name","team_code","group_name","played","wins","draws","losses","goals_for","goals_against","goal_difference","points","advanced"
"105","WC-2007","2007 FIFA Women's World Cup",2007,"2007-09-10","2007-09-30","China","Germany",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,24,24,0,0,0,1,"T-31","Germany","DEU","Group D",3,0,0,3,0,9,-9,0,0
"106","WC-2010","2010 FIFA Men's World Cup",2010,"2010-06-11","2010-07-11","South Africa","Spain",0,32,1,0,0,1,1,1,1,1,1,"group stage",0,0,48,48,0,0,0,1,"T-73","Spain","ESP","Group H",3,0,1,2,0,3,-3,1,0
"107","WC-2011","2011 FIFA Women's World Cup",2011,"2011-06-26","2011-07-17","Germany","Japan",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,24,24,0,0,0,1,"T-44","Japan","JPN","Group D",3,0,0,3,2,7,-5,0,0
"108","WC-2014","2014 FIFA Men's World Cup",2014,"2014-06-12","2014-07-13","Brazil","Germany",0,32,1,0,0,1,1,1,1,1,1,"group stage",0,0,48,48,0,0,0,1,"T-31","Germany","DEU","Group H",3,0,1,2,3,6,-3,1,0
"109","WC-2015","2015 FIFA Women's World Cup",2015,"2015-06-06","2015-07-05","Canada","United States",0,24,1,0,0,1,1,1,1,1,1,"group stage",0,0,36,36,0,0,0,1,"T-83","United States","USA","Group F",3,0,1,2,2,8,-6,1,0
"110","WC-2018","2018 FIFA Men's World Cup",2018,"2018-06-14","2018-07-15","Russia","France",0,32,1,0,0,1,1,1,1,1,1,"group stage",0,0,48,48,0,0,0,1,"T-30","France","FRA","Group H",3,1,0,2,2,5,-3,3,0
"111","WC-2019","2019 FIFA Women's World Cup",2019,"2019-06-07","2019-07-07","France","United States",0,24,1,0,0,1,1,1,1,1,1,"group stage",0,0,36,36,0,0,0,1,"T-83","United States","USA","Group F",3,0,0,3,1,20,-19,0,0
"112","WC-2022","2022 FIFA Men's World Cup",2022,"2022-11-20","2022-12-18","Qatar","Argentina",0,32,1,0,0,1,1,1,1,1,1,"group stage",0,0,48,48,0,0,0,1,"T-03","Argentina","ARG","Group H",3,1,0,2,5,7,-2,3,0
"113","WC-1930","1930 FIFA Men's World Cup",1930,"1930-07-13","1930-07-30","Uruguay","Uruguay",1,13,1,0,0,0,0,1,0,1,1,"group stage",0,1,15,15,0,0,0,4,"T-87","Yugoslavia","YUG","Group 4",2,1,0,1,1,3,-2,2,0
"114","WC-1950","1950 FIFA Men's World Cup",1950,"1950-06-24","1950-07-16","Brazil","Uruguay",0,13,1,0,1,0,0,0,0,0,2,"final round",0,0,6,6,0,0,0,4,"T-73","Spain","ESP","Group 1",3,1,0,2,6,11,-5,2,0
"115","WC-1954","1954 FIFA Men's World Cup",1954,"1954-06-16","1954-07-04","Switzerland","West Germany",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,18,16,0,2,0,4,"T-84","Uruguay","URY","Group 4",2,1,0,1,5,3,2,2,0
"116","WC-1958","1958 FIFA Men's World Cup",1958,"1958-06-08","1958-06-29","Sweden","Brazil",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,27,24,0,3,0,4,"T-86","West Germany","DEU","Group 4",3,0,3,0,4,4,0,3,0
"117","WC-1962","1962 FIFA Men's World Cup",1962,"1962-05-30","1962-07-17","Chile","Brazil",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,24,24,0,0,0,4,"T-87","Yugoslavia","YUG","Group 4",3,1,1,1,2,3,-1,3,0
"118","WC-1966","1966 FIFA Men's World Cup",1966,"1966-07-11","1966-07-30","England","England",1,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,24,24,0,0,0,4,"T-72","Soviet Union","SUN","Group 4",3,1,0,2,2,2,0,2,0
"119","WC-1970","1970 FIFA Men's World Cup",1970,"1970-05-31","1970-06-21","Mexico","Brazil",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,24,24,0,0,0,4,"T-84","Uruguay","URY","Group 4",3,0,1,2,5,9,-4,1,0
"120","WC-1974","1974 FIFA Men's World Cup",1974,"1974-06-13","1974-07-07","West Germany","West Germany",1,16,1,1,0,0,0,0,1,1,2,"second group stage",0,0,12,12,0,0,0,4,"T-09","Brazil","BRA","Group B",3,1,0,2,4,6,-2,2,0
"121","WC-1978","1978 FIFA Men's World Cup",1978,"1978-06-01","1978-06-25","Argentina","Argentina",1,16,1,1,0,0,0,0,1,1,2,"second group stage",0,0,12,12,0,0,0,4,"T-41","Italy","ITA","Group B",3,1,0,2,2,5,-3,2,0
"122","WC-1982","1982 FIFA Men's World Cup",1982,"1982-06-13","1982-07-11","Spain","Italy",0,24,1,1,0,0,0,1,1,1,2,"second group stage",0,0,12,12,0,0,0,4,"T-30","France","FRA","Group D",2,0,1,1,2,3,-1,1,0
"123","WC-1986","1986 FIFA Men's World Cup",1986,"1986-05-31","1986-06-29","Mexico","Argentina",0,24,1,0,0,1,1,1,1,1,1,"group stage",0,0,36,36,0,0,0,4,"T-06","Belgium","BEL","Group F",3,1,1,1,1,3,-2,3,1
"124","WC-1990","1990 FIFA Men's World Cup",1990,"1990-06-08","1990-07-08","Italy","West Germany",0,24,1,0,0,1,1,1,1,1,1,"group stage",0,0,36,36,0,0,0,4,"T-28","England","ENG","Group F",3,0,3,0,2,2,0,3,1
"125","WC-1991","1991 FIFA Women's World Cup",1991,"1991-11-16","1991-11-30","China","United States",0,12,1,0,0,0,1,1,1,1,1,"group stage",0,0,18,18,0,0,0,4,"T-31","Germany","DEU","Group C",3,1,0,2,2,8,-6,2,1
"126","WC-1994","1994 FIFA Men's World Cup",1994,"1994-06-17","1994-07-17","United States","Brazil",0,24,1,0,0,1,1,1,1,1,1,"group stage",0,0,36,36,0,0,0,4,"T-10","Bulgaria","BGR","Group F",3,2,0,1,2,1,1,6,1
"127","WC-1995","1995 FIFA Women's World Cup",1995,"1995-06-05","1995-06-18","Sweden","Norway",0,12,1,0,0,0,1,1,1,1,1,"group stage",0,0,18,18,0,0,0,4,"T-14","China","CHN","Group C",3,1,0,2,6,5,1,3,1
"128","WC-1998","1998 FIFA Men's World Cup",1998,"1998-06-10","1998-07-12","France","France",1,32,1,0,0,1,1,1,1,1,1,"group stage",0,0,48,48,0,0,0,4,"T-48","Netherlands","NLD","Group H",3,1,0,2,3,9,-6,3,0
"129","WC-1999","1999 FIFA Women's World Cup",1999,"1999-06-19","1999-07-10","United States","United States",1,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,24,24,0,0,0,4,"T-53","Norway","NOR","Group D",3,0,1,2,3,7,-4,1,0
"130","WC-2002","2002 FIFA Men's World Cup",2002,"2002-05-31","2002-06-30","Korea, Japan","Brazil",0,32,1,0,0,1,1,1,1,1,1,"group stage",0,0,48,48,0,0,0,4,"T-71","South Korea","KOR","Group H",3,1,0,2,4,4,0,3,0
"131","WC-2003","2003 FIFA Women's World Cup",2003,"2003-09-20","2003-10-12","United States","Germany",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,24,24,0,0,0,4,"T-12","Canada","CAN","Group D",3,1,0,2,2,5,-3,3,0
"132","WC-2006","2006 FIFA Men's World Cup",2006,"2006-06-09","2006-07-09","Germany","Italy",0,32,1,0,0,1,1,1,1,1,1,"group stage",0,0,48,48,0,0,0,4,"T-58","Portugal","PRT","Group H",3,0,1,2,3,6,-3,1,0
"133","WC-2007","2007 FIFA Women's World Cup",2007,"2007-09-10","2007-09-30","China","Germany",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,24,24,0,0,0,4,"T-53","Norway","NOR","Group D",3,1,0,2,4,4,0,3,0
"134","WC-2010","2010 FIFA Men's World Cup",2010,"2010-06-11","2010-07-11","South Africa","Spain",0,32,1,0,0,1,1,1,1,1,1,"group stage",0,0,48,48,0,0,0,4,"T-84","Uruguay","URY","Group H",3,1,1,1,1,1,0,4,0
"135","WC-2011","2011 FIFA Women's World Cup",2011,"2011-06-26","2011-07-17","Germany","Japan",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,24,24,0,0,0,4,"T-30","France","FRA","Group D",3,1,0,2,2,5,-3,3,0
"136","WC-2014","2014 FIFA Men's World Cup",2014,"2014-06-12","2014-07-13","Brazil","Germany",0,32,1,0,0,1,1,1,1,1,1,"group stage",0,0,48,48,0,0,0,4,"T-09","Brazil","BRA","Group H",3,0,2,1,2,3,-1,2,0
"137","WC-2015","2015 FIFA Women's World Cup",2015,"2015-06-06","2015-07-05","Canada","United States",0,24,1,0,0,1,1,1,1,1,1,"group stage",0,0,36,36,0,0,0,4,"T-31","Germany","DEU","Group F",3,1,1,1,4,3,1,4,1
"138","WC-2018","2018 FIFA Men's World Cup",2018,"2018-06-14","2018-07-15","Russia","France",0,32,1,0,0,1,1,1,1,1,1,"group stage",0,0,48,48,0,0,0,4,"T-28","England","ENG","Group H",3,1,1,1,4,4,0,4,0
"139","WC-2019","2019 FIFA Women's World Cup",2019,"2019-06-07","2019-07-07","France","United States",0,24,1,0,0,1,1,1,1,1,1,"group stage",0,0,36,36,0,0,0,4,"T-28","England","ENG","Group F",3,1,0,2,2,5,-3,3,0
"140","WC-2022","2022 FIFA Men's World Cup",2022,"2022-11-20","2022-12-18","Qatar","Argentina",0,32,1,0,0,1,1,1,1,1,1,"group stage",0,0,48,48,0,0,0,4,"T-47","Morocco","MAR","Group H",3,1,1,1,2,2,0,4,0
"141","WC-1930","1930 FIFA Men's World Cup",1930,"1930-07-13","1930-07-30","Uruguay","Uruguay",1,13,1,0,0,0,0,1,0,1,1,"group stage",0,1,15,15,0,0,0,3,"T-83","United States","USA","Group 4",2,1,0,1,1,3,-2,2,0
"142","WC-1950","1950 FIFA Men's World Cup",1950,"1950-06-24","1950-07-16","Brazil","Uruguay",0,13,1,0,1,0,0,0,0,0,2,"final round",0,0,6,6,0,0,0,3,"T-74","Sweden","SWE","Group 1",3,1,0,2,6,11,-5,2,0
"143","WC-1954","1954 FIFA Men's World Cup",1954,"1954-06-16","1954-07-04","Switzerland","West Germany",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,18,16,0,2,0,3,"T-05","Austria","AUT","Group 4",2,1,0,1,5,3,2,2,0
"144","WC-1958","1958 FIFA Men's World Cup",1958,"1958-06-08","1958-06-29","Sweden","Brazil",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,27,24,0,3,0,3,"T-30","France","FRA","Group 4",3,0,3,0,4,4,0,3,0
"145","WC-1962","1962 FIFA Men's World Cup",1962,"1962-05-30","1962-07-17","Chile","Brazil",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,24,24,0,0,0,3,"T-13","Chile","CHL","Group 4",3,1,1,1,2,3,-1,3,0
"146","WC-1966","1966 FIFA Men's World Cup",1966,"1966-07-11","1966-07-30","England","England",1,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,24,24,0,0,0,3,"T-58","Portugal","PRT","Group 4",3,1,0,2,2,2,0,2,0
"147","WC-1970","1970 FIFA Men's World Cup",1970,"1970-05-31","1970-06-21","Mexico","Brazil",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,24,24,0,0,0,3,"T-86","West Germany","DEU","Group 4",3,0,1,2,5,9,-4,1,0
"148","WC-1974","1974 FIFA Men's World Cup",1974,"1974-06-13","1974-07-07","West Germany","West Germany",1,16,1,1,0,0,0,0,1,1,2,"second group stage",0,0,12,12,0,0,0,3,"T-57","Poland","POL","Group B",3,1,0,2,4,6,-2,2,0
"149","WC-1978","1978 FIFA Men's World Cup",1978,"1978-06-01","1978-06-25","Argentina","Argentina",1,16,1,1,0,0,0,0,1,1,2,"second group stage",0,0,12,12,0,0,0,3,"T-09","Brazil","BRA","Group B",3,1,0,2,2,5,-3,2,0
"150","WC-1982","1982 FIFA Men's World Cup",1982,"1982-06-13","1982-07-11","Spain","Italy",0,24,1,1,0,0,0,1,1,1,2,"second group stage",0,0,12,12,0,0,0,3,"T-57","Poland","POL","Group D",2,0,1,1,2,3,-1,1,0
"151","WC-1986","1986 FIFA Men's World Cup",1986,"1986-05-31","1986-06-29","Mexico","Argentina",0,24,1,0,0,1,1,1,1,1,1,"group stage",0,0,36,36,0,0,0,3,"T-30","France","FRA","Group F",3,1,1,1,1,3,-2,3,1
"152","WC-1990","1990 FIFA Men's World Cup",1990,"1990-06-08","1990-07-08","Italy","West Germany",0,24,1,0,0,1,1,1,1,1,1,"group stage",0,0,36,36,0,0,0,3,"T-41","Italy","ITA","Group F",3,0,3,0,2,2,0,3,1
"153","WC-1991","1991 FIFA Women's World Cup",1991,"1991-11-16","1991-11-30","China","United States",0,12,1,0,0,0,1,1,1,1,1,"group stage",0,0,18,18,0,0,0,3,"T-74","Sweden","SWE","Group C",3,1,0,2,2,8,-6,2,1
"154","WC-1994","1994 FIFA Men's World Cup",1994,"1994-06-17","1994-07-17","United States","Brazil",0,24,1,0,0,1,1,1,1,1,1,"group stage",0,0,36,36,0,0,0,3,"T-74","Sweden","SWE","Group F",3,2,0,1,2,1,1,6,1
"155","WC-1995","1995 FIFA Women's World Cup",1995,"1995-06-05","1995-06-18","Sweden","Norway",0,12,1,0,0,0,1,1,1,1,1,"group stage",0,0,18,18,0,0,0,3,"T-83","United States","USA","Group C",3,1,0,2,6,5,1,3,1
"156","WC-1998","1998 FIFA Men's World Cup",1998,"1998-06-10","1998-07-12","France","France",1,32,1,0,0,1,1,1,1,1,1,"group stage",0,0,48,48,0,0,0,3,"T-18","Croatia","HRV","Group H",3,1,0,2,3,9,-6,3,0
"157","WC-1999","1999 FIFA Women's World Cup",1999,"1999-06-19","1999-07-10","United States","United States",1,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,24,24,0,0,0,3,"T-09","Brazil","BRA","Group D",3,0,1,2,3,7,-4,1,0
"158","WC-2002","2002 FIFA Men's World Cup",2002,"2002-05-31","2002-06-30","Korea, Japan","Brazil",0,32,1,0,0,1,1,1,1,1,1,"group stage",0,0,48,48,0,0,0,3,"T-80","Turkey","TUR","Group H",3,1,0,2,4,4,0,3,0
"159","WC-2003","2003 FIFA Women's World Cup",2003,"2003-09-20","2003-10-12","United States","Germany",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,24,24,0,0,0,3,"T-83","United States","USA","Group D",3,1,0,2,2,5,-3,3,0
"160","WC-2006","2006 FIFA Men's World Cup",2006,"2006-06-09","2006-07-09","Germany","Italy",0,32,1,0,0,1,1,1,1,1,1,"group stage",0,0,48,48,0,0,0,3,"T-31","Germany","DEU","Group H",3,0,1,2,3,6,-3,1,0
"161","WC-2007","2007 FIFA Women's World Cup",2007,"2007-09-10","2007-09-30","China","Germany",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,24,24,0,0,0,3,"T-83","United States","USA","Group D",3,1,0,2,4,4,0,3,0
"162","WC-2010","2010 FIFA Men's World Cup",2010,"2010-06-11","2010-07-11","South Africa","Spain",0,32,1,0,0,1,1,1,1,1,1,"group stage",0,0,48,48,0,0,0,3,"T-31","Germany","DEU","Group H",3,1,1,1,1,1,0,4,0
"163","WC-2011","2011 FIFA Women's World Cup",2011,"2011-06-26","2011-07-17","Germany","Japan",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,24,24,0,0,0,3,"T-74","Sweden","SWE","Group D",3,1,0,2,2,5,-3,3,0
"164","WC-2014","2014 FIFA Men's World Cup",2014,"2014-06-12","2014-07-13","Brazil","Germany",0,32,1,0,0,1,1,1,1,1,1,"group stage",0,0,48,48,0,0,0,3,"T-48","Netherlands","NLD","Group H",3,0,2,1,2,3,-1,2,0
"165","WC-2015","2015 FIFA Women's World Cup",2015,"2015-06-06","2015-07-05","Canada","United States",0,24,1,0,0,1,1,1,1,1,1,"group stage",0,0,36,36,0,0,0,3,"T-28","England","ENG","Group F",3,1,1,1,4,3,1,4,1
"166","WC-2018","2018 FIFA Men's World Cup",2018,"2018-06-14","2018-07-15","Russia","France",0,32,1,0,0,1,1,1,1,1,1,"group stage",0,0,48,48,0,0,0,3,"T-06","Belgium","BEL","Group H",3,1,1,1,4,4,0,4,0
"167","WC-2019","2019 FIFA Women's World Cup",2019,"2019-06-07","2019-07-07","France","United States",0,24,1,0,0,1,1,1,1,1,1,"group stage",0,0,36,36,0,0,0,3,"T-74","Sweden","SWE","Group F",3,1,0,2,2,5,-3,3,0
"168","WC-2022","2022 FIFA Men's World Cup",2022,"2022-11-20","2022-12-18","Qatar","Argentina",0,32,1,0,0,1,1,1,1,1,1,"group stage",0,0,48,48,0,0,0,3,"T-18","Croatia","HRV","Group H",3,1,1,1,2,2,0,4,0
"169","WC-1930","1930 FIFA Men's World Cup",1930,"1930-07-13","1930-07-30","Uruguay","Uruguay",1,13,1,0,0,0,0,1,0,1,1,"group stage",0,1,15,15,0,0,0,2,"T-03","Argentina","ARG","Group 4",2,1,0,1,1,3,-2,2,0
"170","WC-1950","1950 FIFA Men's World Cup",1950,"1950-06-24","1950-07-16","Brazil","Uruguay",0,13,1,0,1,0,0,0,0,0,2,"final round",0,0,6,6,0,0,0,2,"T-09","Brazil","BRA","Group 1",3,1,0,2,6,11,-5,2,0
"171","WC-1954","1954 FIFA Men's World Cup",1954,"1954-06-16","1954-07-04","Switzerland","West Germany",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,18,16,0,2,0,2,"T-36","Hungary","HUN","Group 4",2,1,0,1,5,3,2,2,0
"172","WC-1958","1958 FIFA Men's World Cup",1958,"1958-06-08","1958-06-29","Sweden","Brazil",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,27,24,0,3,0,2,"T-74","Sweden","SWE","Group 4",3,0,3,0,4,4,0,3,0
"173","WC-1962","1962 FIFA Men's World Cup",1962,"1962-05-30","1962-07-17","Chile","Brazil",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,24,24,0,0,0,2,"T-21","Czechoslovakia","CSK","Group 4",3,1,1,1,2,3,-1,3,0
"174","WC-1966","1966 FIFA Men's World Cup",1966,"1966-07-11","1966-07-30","England","England",1,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,24,24,0,0,0,2,"T-86","West Germany","DEU","Group 4",3,1,0,2,2,2,0,2,0
"175","WC-1970","1970 FIFA Men's World Cup",1970,"1970-05-31","1970-06-21","Mexico","Brazil",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,24,24,0,0,0,2,"T-41","Italy","ITA","Group 4",3,0,1,2,5,9,-4,1,0
"176","WC-1974","1974 FIFA Men's World Cup",1974,"1974-06-13","1974-07-07","West Germany","West Germany",1,16,1,1,0,0,0,0,1,1,2,"second group stage",0,0,12,12,0,0,0,2,"T-48","Netherlands","NLD","Group B",3,1,0,2,4,6,-2,2,0
"177","WC-1978","1978 FIFA Men's World Cup",1978,"1978-06-01","1978-06-25","Argentina","Argentina",1,16,1,1,0,0,0,0,1,1,2,"second group stage",0,0,12,12,0,0,0,2,"T-48","Netherlands","NLD","Group B",3,1,0,2,2,5,-3,2,0
"178","WC-1982","1982 FIFA Men's World Cup",1982,"1982-06-13","1982-07-11","Spain","Italy",0,24,1,1,0,0,0,1,1,1,2,"second group stage",0,0,12,12,0,0,0,2,"T-86","West Germany","DEU","Group D",2,0,1,1,2,3,-1,1,0
"179","WC-1986","1986 FIFA Men's World Cup",1986,"1986-05-31","1986-06-29","Mexico","Argentina",0,24,1,0,0,1,1,1,1,1,1,"group stage",0,0,36,36,0,0,0,2,"T-86","West Germany","DEU","Group F",3,1,1,1,1,3,-2,3,1
"180","WC-1990","1990 FIFA Men's World Cup",1990,"1990-06-08","1990-07-08","Italy","West Germany",0,24,1,0,0,1,1,1,1,1,1,"group stage",0,0,36,36,0,0,0,2,"T-03","Argentina","ARG","Group F",3,0,3,0,2,2,0,3,1
"181","WC-1991","1991 FIFA Women's World Cup",1991,"1991-11-16","1991-11-30","China","United States",0,12,1,0,0,0,1,1,1,1,1,"group stage",0,0,18,18,0,0,0,2,"T-53","Norway","NOR","Group C",3,1,0,2,2,8,-6,2,1
"182","WC-1994","1994 FIFA Men's World Cup",1994,"1994-06-17","1994-07-17","United States","Brazil",0,24,1,0,0,1,1,1,1,1,1,"group stage",0,0,36,36,0,0,0,2,"T-41","Italy","ITA","Group F",3,2,0,1,2,1,1,6,1
"183","WC-1995","1995 FIFA Women's World Cup",1995,"1995-06-05","1995-06-18","Sweden","Norway",0,12,1,0,0,0,1,1,1,1,1,"group stage",0,0,18,18,0,0,0,2,"T-31","Germany","DEU","Group C",3,1,0,2,6,5,1,3,1
"184","WC-1998","1998 FIFA Men's World Cup",1998,"1998-06-10","1998-07-12","France","France",1,32,1,0,0,1,1,1,1,1,1,"group stage",0,0,48,48,0,0,0,2,"T-09","Brazil","BRA","Group H",3,1,0,2,3,9,-6,3,0
"185","WC-1999","1999 FIFA Women's World Cup",1999,"1999-06-19","1999-07-10","United States","United States",1,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,24,24,0,0,0,2,"T-14","China","CHN","Group D",3,0,1,2,3,7,-4,1,0
"186","WC-2002","2002 FIFA Men's World Cup",2002,"2002-05-31","2002-06-30","Korea, Japan","Brazil",0,32,1,0,0,1,1,1,1,1,1,"group stage",0,0,48,48,0,0,0,2,"T-31","Germany","DEU","Group H",3,1,0,2,4,4,0,3,0
"187","WC-2003","2003 FIFA Women's World Cup",2003,"2003-09-20","2003-10-12","United States","Germany",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,24,24,0,0,0,2,"T-74","Sweden","SWE","Group D",3,1,0,2,2,5,-3,3,0
"188","WC-2006","2006 FIFA Men's World Cup",2006,"2006-06-09","2006-07-09","Germany","Italy",0,32,1,0,0,1,1,1,1,1,1,"group stage",0,0,48,48,0,0,0,2,"T-30","France","FRA","Group H",3,0,1,2,3,6,-3,1,0
"189","WC-2007","2007 FIFA Women's World Cup",2007,"2007-09-10","2007-09-30","China","Germany",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,24,24,0,0,0,2,"T-09","Brazil","BRA","Group D",3,1,0,2,4,4,0,3,0
"190","WC-2010","2010 FIFA Men's World Cup",2010,"2010-06-11","2010-07-11","South Africa","Spain",0,32,1,0,0,1,1,1,1,1,1,"group stage",0,0,48,48,0,0,0,2,"T-48","Netherlands","NLD","Group H",3,1,1,1,1,1,0,4,0
"191","WC-2011","2011 FIFA Women's World Cup",2011,"2011-06-26","2011-07-17","Germany","Japan",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,24,24,0,0,0,2,"T-83","United States","USA","Group D",3,1,0,2,2,5,-3,3,0
"192","WC-2014","2014 FIFA Men's World Cup",2014,"2014-06-12","2014-07-13","Brazil","Germany",0,32,1,0,0,1,1,1,1,1,1,"group stage",0,0,48,48,0,0,0,2,"T-03","Argentina","ARG","Group H",3,0,2,1,2,3,-1,2,0
"193","WC-2015","2015 FIFA Women's World Cup",2015,"2015-06-06","2015-07-05","Canada","United States",0,24,1,0,0,1,1,1,1,1,1,"group stage",0,0,36,36,0,0,0,2,"T-44","Japan","JPN","Group F",3,1,1,1,4,3,1,4,1
"194","WC-2018","2018 FIFA Men's World Cup",2018,"2018-06-14","2018-07-15","Russia","France",0,32,1,0,0,1,1,1,1,1,1,"group stage",0,0,48,48,0,0,0,2,"T-18","Croatia","HRV","Group H",3,1,1,1,4,4,0,4,0
"195","WC-2019","2019 FIFA Women's World Cup",2019,"2019-06-07","2019-07-07","France","United States",0,24,1,0,0,1,1,1,1,1,1,"group stage",0,0,36,36,0,0,0,2,"T-48","Netherlands","NLD","Group F",3,1,0,2,2,5,-3,3,0
"196","WC-2022","2022 FIFA Men's World Cup",2022,"2022-11-20","2022-12-18","Qatar","Argentina",0,32,1,0,0,1,1,1,1,1,1,"group stage",0,0,48,48,0,0,0,2,"T-30","France","FRA","Group H",3,1,1,1,2,2,0,4,0
"197","WC-1930","1930 FIFA Men's World Cup",1930,"1930-07-13","1930-07-30","Uruguay","Uruguay",1,13,1,0,0,0,0,1,0,1,1,"group stage",0,1,15,15,0,0,0,1,"T-84","Uruguay","URY","Group 4",2,1,0,1,1,3,-2,2,0
"198","WC-1950","1950 FIFA Men's World Cup",1950,"1950-06-24","1950-07-16","Brazil","Uruguay",0,13,1,0,1,0,0,0,0,0,2,"final round",0,0,6,6,0,0,0,1,"T-84","Uruguay","URY","Group 1",3,1,0,2,6,11,-5,2,0
"199","WC-1954","1954 FIFA Men's World Cup",1954,"1954-06-16","1954-07-04","Switzerland","West Germany",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,18,16,0,2,0,1,"T-86","West Germany","DEU","Group 4",2,1,0,1,5,3,2,2,0
"200","WC-1958","1958 FIFA Men's World Cup",1958,"1958-06-08","1958-06-29","Sweden","Brazil",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,27,24,0,3,0,1,"T-09","Brazil","BRA","Group 4",3,0,3,0,4,4,0,3,0
"201","WC-1962","1962 FIFA Men's World Cup",1962,"1962-05-30","1962-07-17","Chile","Brazil",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,24,24,0,0,0,1,"T-09","Brazil","BRA","Group 4",3,1,1,1,2,3,-1,3,0
"202","WC-1966","1966 FIFA Men's World Cup",1966,"1966-07-11","1966-07-30","England","England",1,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,24,24,0,0,0,1,"T-28","England","ENG","Group 4",3,1,0,2,2,2,0,2,0
"203","WC-1970","1970 FIFA Men's World Cup",1970,"1970-05-31","1970-06-21","Mexico","Brazil",0,16,1,0,0,0,1,1,1,1,1,"group stage",0,0,24,24,0,0,0,1,"T-09","Brazil","BRA","Group 4",3,0,1,2,5,9,-4,1,0
"204","WC-1974","1974 FIFA Men's World Cup",1974,"1974-06-13","1974-07-07","West Germany","West Germany",1,16,1,1,0,0,0,0,1,1,2,"second group stage",0,0,12,12,0,0,0,1,"T-86","West Germany","DEU","Group B",3,1,0,2,4,6,-2,2,0
"205","WC-1978","1978 FIFA Men's World Cup",1978,"1978-06-01","1978-06-25","Argentina","Argentina",1,16,1,1,0,0,0,0,1,1,2,"second group stage",0,0,12,12,0,0,0,1,"T-03","Argentina","ARG","Group B",3,1,0,2,2,5,-3,2,0
"206","WC-1982","1982 FIFA Men's World Cup",1982,"1982-06-13","1982-07-11","Spain","Italy",0,24,1,1,0,0,0,1,1,1,2,"second group stage",0,0,12,12,0,0,0,1,"T-41","Italy","ITA","Group D",2,0,1,1,2,3,-1,1,0
"207","WC-1986","1986 FIFA Men's World Cup",1986,"1986-05-31","1986-06-29","Mexico","Argentina",0,24,1,0,0,1,1,1,1,1,1,"group stage",0,0,36,36,0,0,0,1,"T-03","Argentina","ARG","Group F",3,1,1,1,1,3,-2,3,1
"208","WC-1990","1990 FIFA Men's World Cup",1990,"1990-06-08","1990-07-08","Italy","West Germany",0,24,1,0,0,1,1,1,1,1,1,"group stage",0,0,36,36,0,0,0,1,"T-86","West Germany","DEU","Group F",3,0,3,0,2,2,0,3,1
"209","WC-1991","1991 FIFA Women's World Cup",1991,"1991-11-16","1991-11-30","China","United States",0,12,1,0,0,0,1,1,1,1,1,"group stage",0,0,18,18,0,0,0,1,"T-83","United States","USA","Group C",3,1,0,2,2,8,-6,2,1
"210","WC-1994","1994 FIFA Men's World Cup",1994,"1994-06-17","1994-07-17","United States","Brazil",0,24,1,0,0,1,1,1,1,1,1,"group stage",0,0,36,36,0,0,0,1,"T-09","Brazil","BRA","Group F",3,2,0,1,2,1,1,6,1
